sam_th	R	wavelength
2.300000000000000000e+01	1.185068556172219970e-02	1.350000000000000000e+01
2.400000000000000000e+01	1.246909049772500049e-02	1.350000000000000000e+01
2.500000000000000000e+01	1.240821077075240052e-02	1.350000000000000000e+01
2.600000000000000000e+01	1.097012184509780011e-02	1.350000000000000000e+01
2.700000000000000000e+01	9.338146651744299448e-03	1.350000000000000000e+01
2.800000000000000000e+01	7.917409013452799890e-03	1.350000000000000000e+01
2.900000000000000000e+01	6.081998364445099885e-03	1.350000000000000000e+01
3.000000000000000000e+01	4.034253952383999586e-03	1.350000000000000000e+01
3.100000000000000000e+01	2.224711013359500014e-03	1.350000000000000000e+01
3.200000000000000000e+01	3.752232683935599871e-03	1.350000000000000000e+01
3.300000000000000000e+01	4.193931604346000028e-03	1.350000000000000000e+01
3.400000000000000000e+01	4.132340991010399582e-03	1.350000000000000000e+01
3.500000000000000000e+01	5.236472656518499982e-03	1.350000000000000000e+01
3.600000000000000000e+01	3.919329555259799987e-03	1.350000000000000000e+01
3.700000000000000000e+01	2.127481591795700195e-03	1.350000000000000000e+01
3.800000000000000000e+01	1.774500243400399914e-03	1.350000000000000000e+01
3.900000000000000000e+01	1.827550733264700095e-03	1.350000000000000000e+01
4.000000000000000000e+01	1.368565245691399923e-03	1.350000000000000000e+01
1.000000000000000000e+00	9.248436059172048251e-01	1.450000000000000000e+01
2.000000000000000000e+00	8.607253998953090512e-01	1.450000000000000000e+01
3.000000000000000000e+00	7.976800897991043193e-01	1.450000000000000000e+01
4.000000000000000000e+00	7.368999488726662994e-01	1.450000000000000000e+01
5.000000000000000000e+00	6.774122964790412205e-01	1.450000000000000000e+01
6.000000000000000000e+00	6.197652008031397930e-01	1.450000000000000000e+01
7.000000000000000000e+00	5.623967073735220978e-01	1.450000000000000000e+01
8.000000000000000000e+00	5.054180265578369635e-01	1.450000000000000000e+01
9.000000000000000000e+00	4.488977017291433946e-01	1.450000000000000000e+01
1.000000000000000000e+01	3.918731417231505199e-01	1.450000000000000000e+01
1.100000000000000000e+01	3.346971551523260091e-01	1.450000000000000000e+01
1.200000000000000000e+01	2.778998594438177872e-01	1.450000000000000000e+01
1.300000000000000000e+01	2.232207623822408116e-01	1.450000000000000000e+01
1.400000000000000000e+01	1.732180406877386059e-01	1.450000000000000000e+01
1.500000000000000000e+01	1.297430212793503901e-01	1.450000000000000000e+01
1.600000000000000000e+01	9.643095105977589343e-02	1.450000000000000000e+01
1.700000000000000000e+01	7.342456565502919474e-02	1.450000000000000000e+01
1.800000000000000000e+01	5.856203573248130317e-02	1.450000000000000000e+01
1.900000000000000000e+01	4.772240578638099751e-02	1.450000000000000000e+01
2.000000000000000000e+01	3.775046898518200078e-02	1.450000000000000000e+01
2.100000000000000000e+01	2.830176653609429993e-02	1.450000000000000000e+01
2.200000000000000000e+01	2.023220488542409878e-02	1.450000000000000000e+01
2.300000000000000000e+01	1.261499141917290026e-02	1.450000000000000000e+01
2.400000000000000000e+01	1.076932493615869943e-02	1.450000000000000000e+01
2.500000000000000000e+01	1.200111083733969991e-02	1.450000000000000000e+01
2.600000000000000000e+01	1.098475470993100049e-02	1.450000000000000000e+01
2.700000000000000000e+01	1.057091155745230014e-02	1.450000000000000000e+01
2.800000000000000000e+01	1.095943895089710081e-02	1.450000000000000000e+01
2.900000000000000000e+01	7.935856241618799434e-03	1.450000000000000000e+01
3.000000000000000000e+01	5.687734292815999591e-03	1.450000000000000000e+01
3.100000000000000000e+01	3.894767248514799819e-03	1.450000000000000000e+01
3.200000000000000000e+01	4.028809142007300399e-03	1.450000000000000000e+01
3.300000000000000000e+01	3.065352106761099881e-03	1.450000000000000000e+01
3.400000000000000000e+01	4.363976785847599980e-03	1.450000000000000000e+01
3.500000000000000000e+01	3.775275340500800110e-03	1.450000000000000000e+01
3.600000000000000000e+01	3.360423867616999915e-03	1.450000000000000000e+01
3.700000000000000000e+01	2.610865153071100040e-03	1.450000000000000000e+01
3.800000000000000000e+01	2.731481189447000201e-03	1.450000000000000000e+01
3.900000000000000000e+01	3.120035495201500201e-03	1.450000000000000000e+01
4.000000000000000000e+01	3.320035495201500201e-03	1.450000000000000000e+01
